"x_position_input","y_position_input","yaw_input","input_time","vel_x_input","vel_y_input","vel_w_input","x_ref","y_ref","yaw_ref","con_x_input","con_z_input","con_time","x_position_output","y_position_output","yaw_output","output_time","vel_x_output","vel_y_output","vel_w_output"
0.653359,-0.052824,0.0193757,395.343,0.475013,0.0079092,0.0792485,0.605763,0.0461346,0.152026,0.367182,0.161896,395.352,0.662644,-0.0526396,0.0209996,395.363,0.45541,0.0108242,0.0840833
0.662644,-0.0526396,0.0209996,395.363,0.45541,0.0108242,0.0840833,0.605763,0.0461346,0.152026,0.354955,0.160672,395.37,0.671582,-0.0523868,0.0224282,395.38,0.429432,0.013612,0.00596302
0.671582,-0.0523868,0.0224282,395.38,0.429432,0.013612,0.00596302,0.691483,0.0602219,0.173744,0.443821,0.174374,395.394,0.684152,-0.0517711,0.0235832,395.408,0.413692,0.0221951,0.0752612
0.684152,-0.0517711,0.0235832,395.408,0.413692,0.0221951,0.0752612,0.691483,0.0602219,0.173744,0.427295,0.173504,395.411,0.688342,-0.0515913,0.0244685,395.421,0.425528,0.0130046,0.0958631
0.688342,-0.0515913,0.0244685,395.421,0.425528,0.0130046,0.0958631,0.691483,0.0602219,0.173744,0.421787,0.172836,395.433,0.696979,-0.0514963,0.0270771,395.443,0.436358,0.00336762,0.145395
0.696979,-0.0514963,0.0270771,395.443,0.436358,0.00336762,0.145395,0.691483,0.0602219,0.173744,0.410454,0.170869,395.448,0.705802,-0.0512588,0.0294129,395.458,0.444573,0.02006,0.0864566
0.705802,-0.0512588,0.0294129,395.458,0.444573,0.02006,0.0864566,0.691483,0.0602219,0.173744,0.398868,0.169108,395.471,0.714772,-0.0506878,0.0308707,395.482,0.45389,0.0336236,0.0740731
0.714772,-0.0506878,0.0308707,395.482,0.45389,0.0336236,0.0740731,0.691483,0.0602219,0.173744,0.387067,0.168009,395.489,0.723971,-0.0501016,0.0326055,395.5,0.463187,0.0207139,0.0976868
0.723971,-0.0501016,0.0326055,395.5,0.463187,0.0207139,0.0976868,0.691483,0.0602219,0.173744,0.374965,0.166701,395.515,0.737672,-0.0497962,0.0347666,395.526,0.440591,0.00894895,0.0183332
0.737672,-0.0497962,0.0347666,395.526,0.440591,0.00894895,0.0183332,0.691483,0.0602219,0.173744,0.356975,0.165072,395.531,0.742035,-0.0496706,0.0349844,395.541,0.433114,0.0152078,0.0242717
0.742035,-0.0496706,0.0349844,395.541,0.433114,0.0152078,0.0242717,0.691483,0.0602219,0.173744,0.351246,0.164907,395.55,0.750576,-0.0492829,0.0357199,395.56,0.422791,0.0217717,0.053559
0.750576,-0.0492829,0.0357199,395.56,0.422791,0.0217717,0.053559,0.691483,0.0602219,0.173744,0.340019,0.164353,395.571,0.759034,-0.0489394,0.0371924,395.582,0.424654,0.0119135,0.0809271
0.759034,-0.0489394,0.0371924,395.582,0.424654,0.0119135,0.0809271,0.776877,0.0761675,0.195462,0.428898,0.178022,395.598,0.771653,-0.0485018,0.0393336,395.608,0.414783,0.0210456,0.0653859
0.771653,-0.0485018,0.0393336,395.608,0.414783,0.0210456,0.0653859,0.776877,0.0761675,0.195462,0.412377,0.176408,395.61,0.775788,-0.0482661,0.0400846,395.62,0.408248,0.0243298,0.101644
0.775788,-0.0482661,0.0400846,395.62,0.408248,0.0243298,0.101644,0.776877,0.0761675,0.195462,0.406957,0.175842,395.632,0.783925,-0.0477304,0.0425318,395.642,0.412143,0.0301191,0.124078
0.783925,-0.0477304,0.0425318,395.642,0.412143,0.0301191,0.124078,0.776877,0.0761675,0.195462,0.396286,0.173996,395.65,0.792297,-0.0470417,0.0449272,395.66,0.427161,0.0378837,0.117656
0.792297,-0.0470417,0.0449272,395.66,0.427161,0.0378837,0.117656,0.776877,0.0761675,0.195462,0.385296,0.17219,395.671,0.800879,-0.0463121,0.0463432,395.682,0.419622,0.0357795,0.0131801
0.800879,-0.0463121,0.0463432,395.682,0.419622,0.0357795,0.0131801,0.776877,0.0761675,0.195462,0.37403,0.171123,395.692,0.809142,-0.045548,0.047078,395.702,0.408436,0.0385374,0.0572478
0.809142,-0.045548,0.047078,395.702,0.408436,0.0385374,0.0572478,0.776877,0.0761675,0.195462,0.363176,0.170569,395.71,0.817301,-0.0448221,0.0490024,395.722,0.408946,0.0342601,0.12423
0.817301,-0.0448221,0.0490024,395.722,0.408946,0.0342601,0.12423,0.776877,0.0761675,0.195462,0.352463,0.169118,395.73,0.825589,-0.0443888,0.0517615,395.74,0.419661,0.0145184,0.133451
0.825589,-0.0443888,0.0517615,395.74,0.419661,0.0145184,0.133451,0.776877,0.0761675,0.195462,0.341601,0.167038,395.75,0.833999,-0.0440013,0.0540588,395.761,0.419806,0.0256999,0.101535
0.833999,-0.0440013,0.0540588,395.761,0.419806,0.0256999,0.101535,0.776877,0.0761675,0.195462,0.330583,0.165305,395.771,0.842297,-0.0434247,0.056054,395.781,0.40994,0.0304288,0.0962175
0.842297,-0.0434247,0.056054,395.781,0.40994,0.0304288,0.0962175,0.776877,0.0761675,0.195462,0.3197,0.163801,395.79,0.850344,-0.0428625,0.0579779,395.802,0.396957,0.0255136,0.0963594
0.850344,-0.0428625,0.0579779,395.802,0.396957,0.0255136,0.0963594,0.861905,0.0939636,0.217179,0.40846,0.17713,395.811,0.858158,-0.0423778,0.0599212,395.822,0.383334,0.0237535,0.110412
0.858158,-0.0423778,0.0599212,395.822,0.383334,0.0237535,0.110412,0.861905,0.0939636,0.217179,0.398253,0.175665,395.83,0.865599,-0.0418969,0.0619799,395.84,0.369259,0.0271645,0.0568225
0.865599,-0.0418969,0.0619799,395.84,0.369259,0.0271645,0.0568225,0.861905,0.0939636,0.217179,0.388531,0.174113,395.85,0.873124,-0.0412368,0.0630645,395.86,0.382383,0.0375562,0.0563579
0.873124,-0.0412368,0.0630645,395.86,0.382383,0.0375562,0.0563579,0.861905,0.0939636,0.217179,0.378685,0.173295,395.87,0.880957,-0.0404514,0.0644549,395.88,0.403718,0.0359721,0.0860577
0.880957,-0.0404514,0.0644549,395.88,0.403718,0.0359721,0.0860577,0.861905,0.0939636,0.217179,0.368429,0.172247,395.891,0.889289,-0.0399278,0.0662701,395.902,0.427833,0.0181697,0.0877072
0.889289,-0.0399278,0.0662701,395.902,0.427833,0.0181697,0.0877072,0.861905,0.0939636,0.217179,0.357545,0.170878,395.909,0.897888,-0.0395242,0.0678611,395.919,0.429084,0.0249491,0.0748659
0.897888,-0.0395242,0.0678611,395.919,0.429084,0.0249491,0.0748659,0.861905,0.0939636,0.217179,0.346323,0.169679,395.931,0.90634,-0.0388878,0.0692808,395.944,0.416956,0.036633,0.0726512
0.90634,-0.0388878,0.0692808,395.944,0.416956,0.036633,0.0726512,0.861905,0.0939636,0.217179,0.335273,0.168608,395.95,0.914582,-0.0381376,0.0708325,395.96,0.409158,0.0368135,0.0867153
0.914582,-0.0381376,0.0708325,395.96,0.409158,0.0368135,0.0867153,0.861905,0.0939636,0.217179,0.324487,0.167438,395.971,0.922714,-0.0374534,0.0727098,395.981,0.405028,0.0315782,0.0913592
0.922714,-0.0374534,0.0727098,395.981,0.405028,0.0315782,0.0913592,0.861905,0.0939636,0.217179,0.313851,0.166023,395.994,0.930416,-0.0368472,0.0734129,396.004,0.372696,0.0338908,0.0293488
0.930416,-0.0368472,0.0734129,396.004,0.372696,0.0338908,0.0293488,0.861905,0.0939636,0.217179,0.303779,0.165493,396.01,0.937741,-0.0360951,0.0744033,396.021,0.361766,0.0392753,0.0688831
0.937741,-0.0360951,0.0744033,396.021,0.361766,0.0392753,0.0688831,0.946526,0.113602,0.238897,0.39277,0.179526,396.031,0.944828,-0.0354602,0.0765059,396.041,0.345712,0.0216476,0.138369
