"x_position_input","y_position_input","yaw_input","vel_x_input","vel_y_input","vel_w_input","con_x_input","con_z_input","con_time","state_in_time"
-1.43155058017023,-0.329381019114735,-1.75033677547853,0.023952020636145,0.177865523318315,-1.191741350412,-0.515794402443228,-2.03658829998033,28.341,28.303
-1.42959592116577,-0.320792558027754,-1.80076832417368,0.068116277567803,0.254832237628855,-1.34217483662451,-0.530015685489656,-2.06830374747092,28.351,28.344
-1.42959592116577,-0.320792558027754,-1.80076832417368,0.068116277567803,0.254832237628855,-1.34217483662451,-0.561068028848677,-2.10641587647691,28.371,28.344
-1.42959592116577,-0.320792558027754,-1.80076832417368,0.068116277567803,0.254832237628855,-1.34217483662451,-0.590132303584548,-2.14195617315984,28.381,28.344
-1.42523069154264,-0.305804701873888,-1.87050173567008,0.111744612471446,0.344719096353912,-1.44195491014178,-0.614146711201175,-2.18880983056076,28.39,28.389
-1.42523069154264,-0.305804701873888,-1.87050173567008,0.111744612471446,0.344719096353912,-1.44195491014178,-0.637109315879059,-2.19979635864776,28.401,28.389
-1.42523069154264,-0.305804701873888,-1.87050173567008,0.111744612471446,0.344719096353912,-1.44195491014178,-0.657261591234924,-2.20634166012579,28.411,28.389
-1.42523069154264,-0.305804701873888,-1.87050173567008,0.111744612471446,0.344719096353912,-1.44195491014178,-0.682766946470101,-2.23339024467276,28.421,28.389
-1.41958980544494,-0.290058069248805,-1.9303916381302,0.16674650287836,0.440063491665622,-1.5259719060864,-0.70425760418511,-2.30223825208325,28.441,28.432
-1.41592217215707,-0.280806245499546,-1.96084347308301,0.198517201374141,0.48299171153018,-1.53157320507458,-0.710159853619458,-2.34333890943337,28.45,28.447
-1.41592217215707,-0.280806245499546,-1.96084347308301,0.198517201374141,0.48299171153018,-1.53157320507458,-0.725520164035926,-2.37001122794001,28.462,28.447
-1.41592217215707,-0.280806245499546,-1.96084347308301,0.198517201374141,0.48299171153018,-1.53157320507458,-0.727342969758587,-2.42860341307045,28.47,28.447
-1.41592217215707,-0.280806245499546,-1.96084347308301,0.198517201374141,0.48299171153018,-1.53157320507458,-0.731458698759877,-2.44395662853914,28.48,28.447
-1.40675352376929,-0.259628753842564,-2.02514216646163,0.26027653956039,0.574463949553209,-1.69241000877704,-0.801991291540365,-2.50722590588417,28.501,28.488
-1.40675352376929,-0.259628753842564,-2.02514216646163,0.26027653956039,0.574463949553209,-1.69241000877704,-0.84670074134194,-2.54540017292918,28.51,28.488
-1.40675352376929,-0.259628753842564,-2.02514216646163,0.26027653956039,0.574463949553209,-1.69241000877704,-0.867253789837227,-2.55133957453008,28.52,28.488
-1.39479917655002,-0.235395016081982,-2.09629727821798,0.335450470759859,0.639305128698932,-1.82061008717103,-0.916957985575779,-2.5824971812989,28.541,28.532
-1.39479917655002,-0.235395016081982,-2.09629727821798,0.335450470759859,0.639305128698932,-1.82061008717103,-0.930860634890309,-2.62376643868732,28.551,28.532
-1.39479917655002,-0.235395016081982,-2.09629727821798,0.335450470759859,0.639305128698932,-1.82061008717103,-0.957389036842653,-2.63899057131361,28.553,28.532
-1.37985912973116,-0.208195716142011,-2.17083770228288,0.416315737199295,0.716098954033094,-1.87889656589168,-1.02886483291271,-2.72884196959906,28.591,28.575
-1.37985912973116,-0.208195716142011,-2.17083770228288,0.416315737199295,0.716098954033094,-1.87889656589168,-1.06844109834614,-2.76994663951745,28.601,28.575
-1.37985912973116,-0.208195716142011,-2.17083770228288,0.416315737199295,0.716098954033094,-1.87889656589168,-1.09448476014737,-2.7737533367973,28.613,28.575
-1.37985912973116,-0.208195716142011,-2.17083770228288,0.416315737199295,0.716098954033094,-1.87889656589168,-1.12777859948659,-2.82331477913478,28.622,28.575
-1.35554494012559,-0.170324914657888,-2.26538350522128,0.552264076557206,0.790019714919385,-1.88291108001486,-1.16095447894204,-2.87765919099013,28.631,28.623
-1.35554494012559,-0.170324914657888,-2.26538350522128,0.552264076557206,0.790019714919385,-1.88291108001486,-1.16465277828445,-2.94718043732071,28.65,28.623
-1.35554494012559,-0.170324914657888,-2.26538350522128,0.552264076557206,0.790019714919385,-1.88291108001486,-1.17999371845639,-2.99450192490605,28.661,28.623
-1.32495395534621,-0.130096071227093,-2.35727985243584,0.665596845469816,0.819046146842772,-1.86903248148624,-1.19820978511651,-3.01477746956667,28.671,28.667
-1.31817789289919,-0.121918478569092,-2.37590609714693,0.687980699393673,0.818023093622651,-1.86361890889536,-1.22378452668671,-3.06777561881613,28.681,28.676
-1.31817789289919,-0.121918478569092,-2.37590609714693,0.687980699393673,0.818023093622651,-1.86361890889536,-1.24378289184102,-3.08628280721963,28.691,28.676
-1.31817789289919,-0.121918478569092,-2.37590609714693,0.687980699393673,0.818023093622651,-1.86361890889536,-1.24980986860619,-3.13072259528999,28.701,28.676
-1.31817789289919,-0.121918478569092,-2.37590609714693,0.687980699393673,0.818023093622651,-1.86361890889536,-1.25472168977952,-3.18132799217864,28.711,28.676
-1.31817789289919,-0.121918478569092,-2.37590609714693,0.687980699393673,0.818023093622651,-1.86361890889536,-1.2763551488064,-3.2162876253241,28.721,28.676
