%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1698638742368394003,0.37064282862523706,0.0,0.0,0.0,0.0,-0.1502022942019017
1698638742378376464,0.37072285679138467,0.0,0.0,0.0,0.0,-0.14951216644916718
1698638742388236769,0.37126914779696213,0.0,0.0,0.0,0.0,-0.1479998223176463
1698638742398376603,0.3716479999073571,0.0,0.0,0.0,0.0,-0.14650301055182188
1698638742408351723,0.37275141530999956,0.0,0.0,0.0,0.0,-0.14473913627342022
1698638742418376197,0.37277162647114603,0.0,0.0,0.0,0.0,-0.1432141897456864
1698638742428235348,0.3745269481959256,0.0,0.0,0.0,0.0,-0.14201406528912897
1698638742438280912,0.37485955529570825,0.0,0.0,0.0,0.0,-0.14070201177898295
1698638742448200148,0.374966383032513,0.0,0.0,0.0,0.0,-0.14003412311156002
1698638742458282243,0.37662644907004067,0.0,0.0,0.0,0.0,-0.13917397995045794
1698638742468232366,0.3772314780561494,0.0,0.0,0.0,0.0,-0.13754842249520838
1698638742478330608,0.3786866955488222,0.0,0.0,0.0,0.0,-0.1367205145582383
1698638742488331500,0.380031263192035,0.0,0.0,0.0,0.0,-0.1358867938754235
1698638742498317804,0.3801226123556969,0.0,0.0,0.0,0.0,-0.13510797380287767
1698638742508252379,0.38062036040077213,0.0,0.0,0.0,0.0,-0.13425430643222686
1698638742518332277,0.3814258193029279,0.0,0.0,0.0,0.0,-0.13239760060724806
1698638742528287350,0.38278393911615455,0.0,0.0,0.0,0.0,-0.1319882936701074
1698638742538358871,0.3846057682219477,0.0,0.0,0.0,0.0,-0.1309441262614243
1698638742548764335,0.385835776006518,0.0,0.0,0.0,0.0,-0.13081105010822727
1698638742558362988,0.3868647005889447,0.0,0.0,0.0,0.0,-0.12899199234053652
1698638742568361237,0.3882601514549667,0.0,0.0,0.0,0.0,-0.12852595901180186
1698638742578291310,0.3889327585013495,0.0,0.0,0.0,0.0,-0.12707496881454805
1698638742588243543,0.3895312036518955,0.0,0.0,0.0,0.0,-0.12632881098436852
1698638742598308464,0.39113218142979184,0.0,0.0,0.0,0.0,-0.1255126632219961
1698638742608305534,0.39158825451259877,0.0,0.0,0.0,0.0,-0.12395920091919241
1698638742618938906,0.39254846775477753,0.0,0.0,0.0,0.0,-0.12241759624552809
1698638742628306559,0.3945975996844117,0.0,0.0,0.0,0.0,-0.12088422267456889
1698638742638290678,0.39582997975631484,0.0,0.0,0.0,0.0,-0.1194589201237621
1698638742648357656,0.39723391539254993,0.0,0.0,0.0,0.0,-0.1179700875573271
1698638742658298389,0.39752119476168135,0.0,0.0,0.0,0.0,-0.1169220870893178
1698638742668254668,0.3977886518272048,0.0,0.0,0.0,0.0,-0.1152317306007016
1698638742678238959,0.3994771477516527,0.0,0.0,0.0,0.0,-0.11432731502957924
1698638742688325496,0.39994990040787554,0.0,0.0,0.0,0.0,-0.11405586167592564
1698638742698237273,0.4007274275683577,0.0,0.0,0.0,0.0,-0.11360350766232274
1698638742708271623,0.4018480534596314,0.0,0.0,0.0,0.0,-0.11229433538758779
1698638742718267282,0.40241790414043926,0.0,0.0,0.0,0.0,-0.11192167887071806
1698638742728233067,0.4032346640261827,0.0,0.0,0.0,0.0,-0.11146793776494777
1698638742738281564,0.4042523792292564,0.0,0.0,0.0,0.0,-0.10954830270601415
1698638742748267728,0.4049551911917184,0.0,0.0,0.0,0.0,-0.10807641364314909
1698638742758272982,0.4054754035817891,0.0,0.0,0.0,0.0,-0.10695529857422671
1698638742768286452,0.40564197813841474,0.0,0.0,0.0,0.0,-0.10651711998929361
1698638742778966941,0.4072186667718466,0.0,0.0,0.0,0.0,-0.10491728056164326
1698638742788301444,0.40736955706450156,0.0,0.0,0.0,0.0,-0.10415723884314329
1698638742798222845,0.40738906027309646,0.0,0.0,0.0,0.0,-0.10400624544154159
1698638742808191580,0.40953763045207264,0.0,0.0,0.0,0.0,-0.10225341009476077
1698638742818311406,0.40965629205786247,0.0,0.0,0.0,0.0,-0.10158769808213405
1698638742828333757,0.4114976884058861,0.0,0.0,0.0,0.0,-0.10087200891354249
1698638742838227201,0.4134084554094931,0.0,0.0,0.0,0.0,-0.0993754923430827
1698638742848252381,0.41457331835015415,0.0,0.0,0.0,0.0,-0.09784155928871394
1698638742858233739,0.41575260424245725,0.0,0.0,0.0,0.0,-0.09629093818813945
1698638742868230446,0.4164728385631906,0.0,0.0,0.0,0.0,-0.09611130005719412
1698638742878345121,0.41647572065086275,0.0,0.0,0.0,0.0,-0.09577729430264713
1698638742888257318,0.41663434382849707,0.0,0.0,0.0,0.0,-0.09529985292345326
1698638742898344898,0.41784701433063903,0.0,0.0,0.0,0.0,-0.09401899360675363
1698638742908707553,0.4190415072353336,0.0,0.0,0.0,0.0,-0.09272652310779525
1698638742918235218,0.4193071502311619,0.0,0.0,0.0,0.0,-0.0914798086638006
1698638742928225731,0.42017953563938376,0.0,0.0,0.0,0.0,-0.09098440603334566
1698638742938431449,0.4214463071552731,0.0,0.0,0.0,0.0,-0.09074032721793178
1698638742948323297,0.4219139576234035,0.0,0.0,0.0,0.0,-0.08994898868454698
1698638742958290969,0.42212552813293114,0.0,0.0,0.0,0.0,-0.0893981566128845
1698638742968644507,0.4224668459457881,0.0,0.0,0.0,0.0,-0.0879825062189917
1698638742978357005,0.42397825512930504,0.0,0.0,0.0,0.0,-0.08769317569515443
1698638742988261023,0.42465778526871856,0.0,0.0,0.0,0.0,-0.08736968157782357
1698638742998503680,0.42491566312648876,0.0,0.0,0.0,0.0,-0.0872764986606615
1698638743008222596,0.42599687688286425,0.0,0.0,0.0,0.0,-0.08497593281190016
1698638743018234207,0.42731894010567867,0.0,0.0,0.0,0.0,-0.08439066607019088
1698638743028242928,0.42860261602041033,0.0,0.0,0.0,0.0,-0.08354084513431084
1698638743038307227,0.42870176662369214,0.0,0.0,0.0,0.0,-0.08192978763377154
1698638743048203852,0.4291220234331743,0.0,0.0,0.0,0.0,-0.08171174785249789
