"%time","field.linear.x","field.linear.y","field.linear.z","field.angular.x","field.angular.y","field.angular.z","field.header.seq","field.header.stamp","field.header.frame_id","field.child_frame_id","field.pose.pose.position.x","field.pose.pose.position.y","field.pose.pose.position.z","field.pose.pose.orientation.x","field.pose.pose.orientation.y","field.pose.pose.orientation.z","field.pose.pose.orientation.w","field.pose.covariance0","field.pose.covariance1","field.pose.covariance2","field.pose.covariance3","field.pose.covariance4","field.pose.covariance5","field.pose.covariance6","field.pose.covariance7","field.pose.covariance8","field.pose.covariance9","field.pose.covariance10","field.pose.covariance11","field.pose.covariance12","field.pose.covariance13","field.pose.covariance14","field.pose.covariance15","field.pose.covariance16","field.pose.covariance17","field.pose.covariance18","field.pose.covariance19","field.pose.covariance20","field.pose.covariance21","field.pose.covariance22","field.pose.covariance23","field.pose.covariance24","field.pose.covariance25","field.pose.covariance26","field.pose.covariance27","field.pose.covariance28","field.pose.covariance29","field.pose.covariance30","field.pose.covariance31","field.pose.covariance32","field.pose.covariance33","field.pose.covariance34","field.pose.covariance35","field.twist.twist.linear.x","field.twist.twist.linear.y","field.twist.twist.linear.z","field.twist.twist.angular.x","field.twist.twist.angular.y","field.twist.twist.angular.z","field.twist.covariance0","field.twist.covariance1","field.twist.covariance2","field.twist.covariance3","field.twist.covariance4","field.twist.covariance5","field.twist.covariance6","field.twist.covariance7","field.twist.covariance8","field.twist.covariance9","field.twist.covariance10","field.twist.covariance11","field.twist.covariance12","field.twist.covariance13","field.twist.covariance14","field.twist.covariance15","field.twist.covariance16","field.twist.covariance17","field.twist.covariance18","field.twist.covariance19","field.twist.covariance20","field.twist.covariance21","field.twist.covariance22","field.twist.covariance23","field.twist.covariance24","field.twist.covariance25","field.twist.covariance26","field.twist.covariance27","field.twist.covariance28","field.twist.covariance29","field.twist.covariance30","field.twist.covariance31","field.twist.covariance32","field.twist.covariance33","field.twist.covariance34","field.twist.covariance35"
1.69863873710822E+018,0.160519004319558,0,0,0,0,-0.36250762164345,6235,1.69863873710726E+018,"odom","odom_imu",-3.55654692649841,0.751488506793976,-0.332333445549011,0.020746996159927,-0.006380589576423,-0.968950745033933,0.246299216249632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.216028987050576,-0.364061622866565,-0.03519155315456,-0.008916929055961,0.057307032229977,-0.287980942309743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.69863873711836E+018,0.160106309971995,0,0,0,0,-0.363053946560209,6236,1.69863873711732E+018,"odom","odom_imu",-3.55856275558472,0.747760832309723,-0.333003252744675,0.021026289640418,-0.006189037833507,-0.969317061276207,0.244834690502613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.209645300110758,-0.371582284865294,-0.033585794071519,-0.018675295327815,0.057156955185013,-0.299118904651051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.69863873712824E+018,0.159391606014705,0,0,0,0,-0.3648121059073,6237,1.69863873712728E+018,"odom","odom_imu",-3.56052160263062,0.744041740894318,-0.333665996789932,0.021294800444745,-0.005985855788732,-0.969688247065837,0.243342155219516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.208880128699218,-0.370062029268853,-0.035780084200109,-0.021535154123815,0.056186494710522,-0.307934968055134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.6986387371382E+018,0.158408539739916,0,0,0,0,-0.366308834335488,6238,1.69863873713726E+018,"odom","odom_imu",-3.56247520446777,0.740352809429169,-0.33437705039978,0.021537896987699,-0.005801376019973,-0.97008742607074,0.24172887458694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.208621089324345,-0.364283000281132,-0.04333228008479,-0.018616739352259,0.049950939896183,-0.331977008164769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.69863873714827E+018,0.156487586977365,0,0,0,0,-0.367310743508347,6239,1.69863873714732E+018,"odom","odom_imu",-3.56441426277161,0.736696839332581,-0.335151344537735,0.0216819908613,-0.005597711255724,-0.970517201875302,0.239989411777108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.204131475940227,-0.358387526748968,-0.048175900316473,-0.02644248275927,0.031103921415882,-0.355264691890126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.69863873715825E+018,0.1555393688927,0,0,0,0,-0.367841663253131,6240,1.69863873715733E+018,"odom","odom_imu",-3.56627774238586,0.733081579208374,-0.335941851139069,0.021772444096312,-0.005397558511315,-0.970968134728134,0.238154799201609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.195935162593425,-0.360257626770033,-0.048877822384342,-0.028073656995806,0.020504103335218,-0.37649923402155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.69863873716828E+018,0.155318992878321,0,0,0,0,-0.369329532576702,6241,1.69863873716733E+018,"odom","odom_imu",-3.56808567047119,0.729432940483093,-0.336739033460617,0.021756323337628,-0.005117554655426,-0.971431808204993,0.236264079023358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.193466418617848,-0.365498619794217,-0.050545299397236,-0.04842799498609,0.003506028386431,-0.388339100659733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.69863873717882E+018,0.155040881873336,0,0,0,0,-0.370606742533017,6242,1.69863873717786E+018,"odom","odom_imu",-3.583988904953,0.746782064437866,-0.322605580091476,0.023537126167405,-0.004890393928667,-0.97230998172366,0.232455129389603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.198266877828801,-0.376010706397922,-0.05283999146137,-0.048987944187386,0.019804555233198,-0.373875942513963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.69863873718833E+018,0.153872098801256,0,0,0,0,-0.371540075100834,6243,1.69863873718796E+018,"odom","odom_imu",-3.5858678817749,0.742981433868408,-0.323439836502075,0.023632067126139,-0.004549812357175,-0.972755936516037,0.230579080975851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.200086103795,-0.37450080934503,-0.049334531121903,-0.05394269576834,0.027410057615119,-0.381475177094957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.69863873719829E+018,0.152763976241674,0,0,0,0,-0.371687798043047,6244,1.69863873719738E+018,"odom","odom_imu",-3.58764386177063,0.739474296569824,-0.32420551776886,0.023683471675803,-0.004225857364859,-0.973172756589704,0.228814381389173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.202758214349637,-0.367732714534759,-0.049867844623398,-0.056975756348832,0.020022736172753,-0.384557571694872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
