,x_position_input,y_position_input,yaw_input,con_linear_x_input,con_z_input,input_time,x_position_output,y_position_output,yaw_output,output_time
171,-6.052058219909668,2.5598485469818115,2.2999095916748047,-0.5,0.0,162.1719970703125,-6.044165081737763,2.5510031617469133,2.3000809347680593,162.192
172,-6.036284446716309,2.5421509742736816,2.300281286239624,-0.5,0.0,162.21099853515625,-6.028441446664263,2.5333133327349002,2.300438003295898,162.237
173,-6.020615100860596,2.5245208740234375,2.3006062507629395,-0.5,0.0,162.2570037841797,-6.028441446664263,2.5333133327349002,2.300438003295898,162.237
174,-6.020615100860596,2.5245208740234375,2.3006062507629395,-0.5,0.0,162.2570037841797,-6.008860488482103,2.5113158496846957,2.3008534412603345,162.28
175,-6.000975608825684,2.50248122215271,2.301063299179077,-0.5,0.0,162.30099487304688,-5.989119341833241,2.489206972159612,2.301339497022261,162.329
176,-5.9812445640563965,2.4803686141967773,2.301522970199585,-0.5,0.0,162.35000610351562,-5.985175213906483,2.4847845083608204,2.3014478404355403,162.34
177,-5.977325439453125,2.4759654998779297,2.3015880584716797,-0.5,0.0,162.36000061035156,-5.9734114419971664,2.4715740459974653,2.3016744656765034,162.375
178,-5.96164608001709,2.4584126472473145,2.301957845687866,-0.5,0.0,162.4040069580078,-5.9734114419971664,2.4715740459974653,2.3016744656765034,162.375
179,-5.96164608001709,2.4584126472473145,2.301957845687866,-0.5,0.0,162.4040069580078,-5.953767921287375,2.4496069964694303,2.302149134480009,162.421
180,-5.941904544830322,2.4363651275634766,2.302391767501831,-0.5,0.0,162.4510040283203,-5.934011499282452,2.4275357859142925,2.302586424157156,162.471
181,-5.9222412109375,2.414350986480713,2.3028030395507812,-0.5,0.0,162.5,-5.930082327609963,2.423129225675611,2.3026577475721415,162.479
182,-5.9183220863342285,2.4099695682525635,2.3028929233551025,-0.5,0.0,162.50999450683594,-5.918322125231382,2.4099695352372303,2.30289285102624,162.512
183,-5.906528472900391,2.3967831134796143,2.303252696990967,-0.5,0.0,162.5489959716797,-5.8986234650660005,2.387965310995316,2.3034505927922106,162.561
184,-5.906528472900391,2.3967831134796143,2.303252696990967,-0.5,0.0,162.5489959716797,-5.8986234650660005,2.387965310995316,2.3034505927922106,162.561
185,-5.886746883392334,2.374715805053711,2.3037431240081787,-0.5,0.0,162.593994140625,-5.878868951052848,2.365897827044457,2.3039180418616296,162.61
186,-5.863155841827393,2.3483495712280273,2.3043482303619385,-0.5,0.0,162.6510009765625,-5.8631559871965075,2.3483495715891887,2.304348328414793,162.651
187,-5.863155841827393,2.3483495712280273,2.3043482303619385,-0.5,0.0,162.6510009765625,-5.859216623476965,2.3439540415826525,2.304444836975782,162.66
188,-5.847346305847168,2.3307533264160156,2.3047425746917725,-0.5,0.0,162.6929931640625,-5.843378924016025,2.326345814064559,2.3048284659085696,162.702
189,-5.827572822570801,2.308727502822876,2.3051578998565674,-0.5,0.0,162.74200439453125,-5.827572879114221,2.3087275125570663,2.305157903108565,162.746
190,-5.827572822570801,2.308727502822876,2.3051578998565674,-0.5,0.0,162.74200439453125,-5.827572879114221,2.3087275125570663,2.305157903108565,162.746
191,-5.803927898406982,2.2824501991271973,2.305698871612549,-0.5,0.0,162.8000030517578,-5.8118367398901265,2.291222347656498,2.30550896328599,162.79
192,-5.803927898406982,2.2824501991271973,2.305698871612549,-0.5,0.0,162.8000030517578,-5.792017913495921,2.26925544616355,2.3059844881332467,162.833
193,-5.792017936706543,2.2692553997039795,2.3059844970703125,-0.5,0.0,162.83900451660156,-5.792017913495921,2.26925544616355,2.3059844881332467,162.833
194,-5.772282123565674,2.2472708225250244,2.3063793182373047,-0.5,0.0,162.88800048828125,-5.772281955843386,2.247270858576259,2.3063792108609604,162.88
195,-5.772282123565674,2.2472708225250244,2.3063793182373047,-0.5,0.0,162.88800048828125,-5.7565061490072145,2.2297904704075076,2.3067304570871716,162.92
196,-5.748570919036865,2.2210121154785156,2.306910991668701,-0.5,0.0,162.94000244140625,-5.748570961965872,2.2210120358669854,2.3069110683157303,162.94
197,-5.748570919036865,2.2210121154785156,2.306910991668701,-0.5,0.0,162.94000244140625,-5.732679252800713,2.203395003161024,2.307306995482793,162.982
198,-5.73267936706543,2.203394889831543,2.307307004928589,-0.5,0.0,162.98199462890625,-5.732679252800713,2.203395003161024,2.307306995482793,162.982
199,-5.716872215270996,2.185880184173584,2.3077552318573,-0.5,0.0,163.02000427246094,-5.716872099862756,2.1858802985853303,2.3077551310927364,163.02
200,-5.716872215270996,2.185880184173584,2.3077552318573,-0.5,0.5,163.02000427246094,-5.716872099862756,2.1858802985853303,2.3077551310927364,163.02
201,-5.556779861450195,2.017578363418579,2.39052414894104,-0.5,0.5,163.5260009765625,-5.556541201108854,2.017320638288347,2.3906555115072146,163.53
202,-5.556779861450195,2.017578363418579,2.39052414894104,-0.5,0.5,163.5260009765625,-5.556541201108854,2.017320638288347,2.3906555115072146,163.53
