x_position_input,y_position_input,yaw_input,input_time,vel_x_input,vel_y_input,vel_w_input,x_ref,y_ref,yaw_ref,con_x_input,con_z_input,con_time,x_position_output,y_position_output,yaw_output,output_time,vel_x_output,vel_y_output,vel_w_output
0.427372,0.0495032,0.0968557,404.547,0.493286,0.0565953,0.0289927,0.436517,0.0136237,0.0624,0.431272,0.00932643,404.552,0.432357,0.0500772,0.0970212,404.562,0.496797,0.0567586,-0.0164644,
0.432357,0.0500772,0.0970212,404.562,0.496797,0.0567586,-0.0164644,0.436517,0.0136237,0.0624,0.426514,0.00927401,404.571,0.446908,0.0517249,0.0965244,404.587,0.481097,0.0500294,0.0255523,
0.446908,0.0517249,0.0965244,404.587,0.481097,0.0500294,0.0255523,0.436517,0.0136237,0.0624,0.412623,0.00943144,404.593,0.451716,0.0521991,0.0968738,404.603,0.480773,0.0445209,0.0428598,
0.451716,0.0521991,0.0968738,404.603,0.480773,0.0445209,0.0428598,0.436517,0.0136237,0.0624,0.408035,0.00932069,404.611,0.461324,0.0529772,0.0976166,404.621,0.48134,0.0384066,0.024126,
0.461324,0.0529772,0.0976166,404.621,0.48134,0.0384066,0.024126,0.436517,0.0136237,0.0624,0.398866,0.00908531,404.631,0.470957,0.0539047,0.0977756,404.642,0.48055,0.0540663,0.00024612,
0.470957,0.0539047,0.0977756,404.642,0.48055,0.0540663,0.00024612,0.436517,0.0136237,0.0624,0.389673,0.00903495,404.651,0.480232,0.0549766,0.0986746,404.661,0.451412,0.0512282,0.0673204,
0.480232,0.0549766,0.0986746,404.661,0.451412,0.0512282,0.0673204,0.436517,0.0136237,0.0624,0.380818,0.00875007,404.674,0.489144,0.0559784,0.0998026,404.685,0.441822,0.049875,0.0438971,
0.489144,0.0559784,0.0998026,404.685,0.441822,0.049875,0.0438971,0.545447,0.0212832,0.078,0.464788,0.0128437,404.689,0.497964,0.0570132,0.100373,404.699,0.444008,0.0545271,0.0137036,
0.497964,0.0570132,0.100373,404.699,0.444008,0.0545271,0.0137036,0.545447,0.0212832,0.078,0.456374,0.012663,404.709,0.507064,0.058137,0.100121,404.719,0.452989,0.0544663,-0.0766598,
0.507064,0.058137,0.100121,404.719,0.452989,0.0544663,-0.0766598,0.545447,0.0212832,0.078,0.447691,0.0127427,404.729,0.516171,0.0591672,0.0988718,404.739,0.458321,0.0481444,-0.0336438,
